City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Vaini,TO,73.56,Clouds,-21.2,-175.2,Keleti Beach Resort
8,Vaini,TO,73.56,Clouds,-21.2,-175.2,Keleti Beach Resort
11,Asau,RO,67.28,Clouds,46.4333,26.4,Casa Mika Ciobanus
28,Eganville,CA,73.51,Clouds,45.5334,-77.0994,Egan Inn
30,Georgetown,MY,78.89,Clouds,5.4112,100.3354,Cititel Penang
31,Rikitea,PF,71.06,Clouds,-23.1203,-134.9692,People ThankYou
36,Butaritari,KI,81.46,Clear,3.0707,172.7902,Isles Sunset Lodge
39,Thompson,CA,74.28,Clouds,55.7435,-97.8558,Burntwood Hotel
41,Arraial Do Cabo,BR,66.06,Clouds,-22.9661,-42.0278,Pousada Porto Praia
43,Jamestown,US,74.84,Clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
44,Pombas,CV,80.38,Clouds,17.1503,-25.0201,Paul Paradis
46,Shubarkuduk,KZ,68.58,Clouds,49.1447,56.4872,Sirius
50,Vaini,TO,73.56,Clouds,-21.2,-175.2,Keleti Beach Resort
53,Asau,RO,67.28,Clouds,46.4333,26.4,Casa Mika Ciobanus
70,Eganville,CA,73.51,Clouds,45.5334,-77.0994,Egan Inn
72,Georgetown,MY,78.89,Clouds,5.4112,100.3354,Cititel Penang
73,Rikitea,PF,71.06,Clouds,-23.1203,-134.9692,People ThankYou
78,Butaritari,KI,81.46,Clear,3.0707,172.7902,Isles Sunset Lodge
81,Thompson,CA,74.28,Clouds,55.7435,-97.8558,Burntwood Hotel
83,Arraial Do Cabo,BR,66.06,Clouds,-22.9661,-42.0278,Pousada Porto Praia
85,Jamestown,US,74.84,Clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
86,Pombas,CV,80.38,Clouds,17.1503,-25.0201,Paul Paradis
88,Shubarkuduk,KZ,68.58,Clouds,49.1447,56.4872,Sirius
92,Vaini,TO,73.56,Clouds,-21.2,-175.2,Keleti Beach Resort
95,Asau,RO,67.28,Clouds,46.4333,26.4,Casa Mika Ciobanus
112,Eganville,CA,73.51,Clouds,45.5334,-77.0994,Egan Inn
114,Georgetown,MY,78.89,Clouds,5.4112,100.3354,Cititel Penang
115,Rikitea,PF,71.06,Clouds,-23.1203,-134.9692,People ThankYou
120,Butaritari,KI,81.46,Clear,3.0707,172.7902,Isles Sunset Lodge
123,Thompson,CA,74.28,Clouds,55.7435,-97.8558,Burntwood Hotel
125,Arraial Do Cabo,BR,66.06,Clouds,-22.9661,-42.0278,Pousada Porto Praia
127,Jamestown,US,74.84,Clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
128,Pombas,CV,80.38,Clouds,17.1503,-25.0201,Paul Paradis
130,Shubarkuduk,KZ,68.58,Clouds,49.1447,56.4872,Sirius
137,Lompoc,US,83.7,Clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
140,Liwale,TZ,65.64,Clouds,-9.7667,37.9333,Tumaini Tulivu Lodge
142,Hilo,US,84.25,Clouds,19.7297,-155.09,Hilo Hawaiian Hotel
